external_exercise_id,title,primary_muscles,secondary_muscles,equipment,movement_pattern,body_position,difficulty,sanitized_metadata
f50de65b-ab30-4b37-a472-d4cab681916c,Knee raises,[core],[],[bodyweight],NULL,NULL,intermediate,map[category:Core difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength core] slug:knee-raises]
f570def7-a724-48f5-87b7-66dfad7cc993,Warrior III (right),[glutes],[],[bodyweight],NULL,NULL,beginner,map[category:YOGA difficulty:beginner equipment:[bodyweight] exerciseTypes:[yoga balance strength] slug:warrior-iii-right]
f5aa2b23-405b-48a1-9538-302a41160cbd,Seated Dumbbell Curl,[biceps],[],[dumbbell],elbow_flexion,NULL,NULL,map[category:Arms - Biceps difficulty:<nil> equipment:[dumbbell] exerciseTypes:[strength] slug:seated-dumbbell-curl]
f6489ee0-7630-4041-ae1d-8e620b58883b,Plank SeeSaw,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core isometric] slug:plank-seesaw]
f66596ba-3a70-406c-8ffa-ed6641a10e19,Dumbbell Side Bend (L),[core],[],[dumbbell],NULL,NULL,NULL,map[category:Core difficulty:<nil> equipment:[dumbbell] exerciseTypes:[strength core] slug:dumbbell-side-bend-l]
f67b5c4a-a959-4b13-933e-633d4faeab95,Deadstop push up,[chest],[],[bodyweight],horizontal_push,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength calisthenics] slug:deadstop-push-up]
f6d6ac54-751d-416e-8c9d-bc4b675cd505,Dumbbell Pullover,[chest],[lats triceps_long_head serratus_anterior teres_major],[dumbbell],NULL,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:dumbbell-pullover-8dd09f]
f6fa126f-2811-454f-a542-39780209c9ec,Cable Diagonal Kickback,[glutes],[],[cable],NULL,NULL,beginner,map[category:Legs difficulty:beginner equipment:[cable] exerciseTypes:[strength] slug:cable-diagonal-kickback]
f7122b18-1a1a-43a4-bb1c-76170240e7e8,Standing Cable Fly,[chest],[],[cable],NULL,NULL,beginner,map[category:Chest difficulty:beginner equipment:[cable] exerciseTypes:[strength] slug:standing-cable-fly]
f71ef5e3-8944-40df-b9ea-00a7b0e6c5cc,Barbell Push Press,[shoulders],[triceps quads core upper_traps],[barbell],NULL,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[barbell] exerciseTypes:[strength functional plyometric] slug:barbell-push-press-aee15e]
f7458e9c-56f8-4604-ba58-636ead67ffe2,Foward Lunges Bodyweight,[quads],[glute_med adductors erector_spinae],[bodyweight],knee_dominant,NULL,beginner,map[category:strength difficulty:beginner equipment:[bodyweight] exerciseTypes:[strength functional balance] slug:foward-lunges-bodyweight-f38df9]
f749ef2b-7e02-4c5b-94fd-abc1c876b0ee,Seated wide angle straddle,[hamstrings],[],[bodyweight],NULL,NULL,beginner,map[category:YOGA difficulty:beginner equipment:[bodyweight] exerciseTypes:[yoga stretching] slug:seated-wide-angle-straddle]
f77e760b-7f45-45b2-a34b-e8e8b3b1ab45,Reverse Fly,[rear_deltoids],[erector_spinae teres_major forearms],[dumbbell],NULL,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:reverse-fly-806f37]
f79d8c98-d6ca-4d46-9704-6d89cf436808,Fire Hydrant Circles,[glute_med],[obliques quads erector_spinae],[bodyweight],NULL,NULL,beginner,map[category:mobility difficulty:beginner equipment:[bodyweight] exerciseTypes:[mobility strength core] slug:fire-hydrant-circles-c96225]
f7c6095d-b060-48e6-81be-461e81a578a7,Smith Machine Sumo Squat,[quads],[],[machine],knee_dominant,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[machine] exerciseTypes:[strength] slug:smith-machine-sumo-squat-f7c6095d]
f7d6b197-e10b-45bf-848b-e4be88299c28,Heel touches - v2,[full_body],[],[bodyweight],NULL,NULL,intermediate,map[category:Full Body difficulty:intermediate equipment:[bodyweight] exerciseTypes:[core] slug:heel-touches-v2]
f8255cfd-7c0e-4451-89a5-947009e4fd13,Chair running chair step knee touch,[hip_flexors],[core rectus_femoris adductors],[],NULL,NULL,beginner,map[category:cardio difficulty:beginner equipment:[chair] exerciseTypes:[cardio core functional] slug:chair-running-chair-step-knee-touch-4ff1ca]
f860eed0-1645-401e-bfe0-ddbc4ba2df90,Pushups,[chest],[],[bodyweight],NULL,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength calisthenics] slug:pushups]
f8a04b5e-b762-48eb-8528-de28f5c321b7,Reverse Lunge with Kettlebell,[quads],[glute_max hamstrings erector_spinae forearms],[],knee_dominant,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[kettlebell] exerciseTypes:[strength functional balance] slug:reverse-lunge-with-kettlebell-d80193]
f8d7664f-01f0-4a79-abd8-85bbe9f067ac,Posterior upper arm (left),[full_body],[],[bodyweight],NULL,NULL,intermediate,map[category:Full Body difficulty:intermediate equipment:[bodyweight] exerciseTypes:[stretching] slug:posterior-upper-arm-left]
f8e77b58-2e1b-4695-ae24-17249ec2ad74,Standing Palm-In One-Arm Dumbbell Press (R,[full_body],[],[dumbbell],NULL,NULL,intermediate,map[category:Full Body difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:standing-palm-in-one-arm-dumbbell-press-r]
