external_exercise_id,ymove_title,final_italian_name,validation_status,quality_score,rejection_reasons,missing_technical_details,research_action
1575dc75-93ab-4c7f-b924-4ed4eda2adc8,Dumbbell Russian Twist,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
d4210b5a-f583-4039-8566-ed5a20e46eab,Dumbbell Scaption,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
0d0368ee-f03d-4ef9-95db-06a56434ea55,Dumbbell Scissors,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
0ff5e9fe-9d15-426a-8c06-fd62a198dc47,Dumbbell shadow box,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
d6c2798d-a077-41b9-9769-d5bd1a57caaa,Dumbbell Shoulder Press,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
0af648a1-1d2e-438b-b687-b522c9eaa8bd,Dumbbell shoulder punches,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
b150868d-c9c5-4f0f-a407-93d7e34b6ddc,Dumbbell Shrug,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
71304f37-af11-4c9f-aa53-ef04cbc9bb29,Dumbbell Side Bend,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
f66596ba-3a70-406c-8ffa-ed6641a10e19,Dumbbell Side Bend (L),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
8dcb1591-348a-4809-9abf-0a1679a7a52a,Dumbbell Side Bend (R),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
