external_exercise_id,ymove_title,final_italian_name,validation_status,quality_score,rejection_reasons,missing_technical_details
d1faa0c0-7eac-4a49-8b40-9b3fa923d091,Incline Dumbbell Curl,,TECHNICAL_REVIEW,60,lost_technical_details,incline
a9ab8609-e40c-44e1-9e0f-a86c3794662c,Incline Dumbbell Lateral Raise,,TECHNICAL_REVIEW,68,missing_main_movement,
8ef75730-0d30-4063-b6ff-242725cf8c29,Incline Dumbbell Press,,TECHNICAL_REVIEW,44,repeated_or_equipment_only|missing_main_movement,
094f1299-cd52-4da7-b97f-c159208ed7d1,Incline Dumbbell Rear Delt Raise,,TECHNICAL_REVIEW,44,repeated_or_equipment_only|missing_main_movement,
e60ce7d6-d899-4620-ac42-faa079614220,Incline Dumbbell Reverse Fly,,TECHNICAL_REVIEW,44,repeated_or_equipment_only|missing_main_movement,
812f7c37-8718-4fa6-8ad2-9c1080da9873,Incline Dumbbell Row,,TECHNICAL_REVIEW,60,lost_technical_details,incline
00a92c05-9865-489d-8495-a8f72af802a6,Incline Machine Press,,TECHNICAL_REVIEW,68,missing_main_movement,
da022ba5-3a51-4861-9b25-232529d5de8e,Incline Machine Shoulder Press,,TECHNICAL_REVIEW,68,missing_main_movement,
cf5916de-b5e4-434c-9cc3-20d729baec1e,Kettlebell Clean,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
98543b7d-bf77-48b2-b0e1-f17ae61e3fc2,Kettlebell Farmer Carry,,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,kettlebell
fa5618bb-f1c9-4911-aa11-f971d99b9fc2,Kettlebell Farmer Carry,,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,kettlebell
d921fc6e-a678-468b-9500-740437cb0265,Kettlebell Figure-8,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
78f8c25f-32b2-4d60-a331-a756f793a892,Kettlebell Goblet Squat,,TECHNICAL_REVIEW,68,missing_main_movement,
bc6934d4-fe50-45ff-a40f-9d751f75c4a2,Kettlebell Halo,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
516ed8ba-873f-441b-a5a6-c52ab7fc048a,Kettlebell Lunge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
